Tahun,USD,JPY,DEM,NLG,GBP,FRH,CHF,SGD,MYR,HKD,AUD,CAD
Februari,"13,707.00","12,791.00",0,0,"19,058.00",0,"14,587.00","10,345.00","3,492.00","1,751.00","10,683.00","10,732.00"
Januari,"13,413.00","12,317.00",0,0,"18,972.00",0,"14,342.00","10,223.00","3,438.00","1,715.00","10,808.00","10,872.00"
2017,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"13,548.00","12,022.00",0,0,"18,218.00",0,"13,842.00","10,134.00","3,335.00","1,733.00","10,557.00","10,779.00"
November,"13,514.00","12,067.00",0,0,"18,205.00",0,"13,739.00","10,034.00","3,308.00","1,731.00","10,252.00","10,508.00"
Oktober,"13,572.00","12,002.00",0,0,"17,913.00",0,"13,626.00","9,970.00","3,207.00","1,740.00","10,431.00","10,574.00"
September,"13,492.00","11,980.00",0,0,"18,100.00",0,"13,889.00","9,926.00","3,191.00","1,727.00","10,578.00","10,843.00"
Agustus,"13,351.00","12,084.00",0,0,"17,242.00",0,"13,852.00","9,826.00","3,126.00","1,706.00","10,547.00","10,560.00"
Juli,"13,323.00","12,062.00",0,0,"17,500.00",0,"13,763.00","9,819.00","3,115.00","1,706.00","10,636.00","10,687.00"
Juni,"13,319.00","12,001.00",0,0,"16,868.00",0,"13,698.00","9,591.00","3,110.00","1,708.00","10,051.00","9,997.00"
Mei,"13,321.00","11,988.00",0,0,"17,080.00",0,"13,652.00","9,613.00","3,114.00","1,710.00","9,930.00","9,895.00"
April,"13,327.00","11,991.00",0,0,"17,204.00",0,"13,407.00","9,546.00","3,065.00","1,713.00","9,956.00","9,769.00"
Maret,"13,321.00","11,885.00",0,0,"16,640.00",0,"13,308.00","9,532.00","3,009.00","1,714.00","10,186.00","9,987.00"
Februari,"13,347.00","11,856.00",0,0,"16,592.00",0,"13,230.00","9,495.00","3,003.00","1,720.00","10,255.00","10,120.00"
Januari,"13,343.00","11,774.00",0,0,"16,701.00",0,"13,420.00","9,402.00","3,012.00","1,720.00","10,100.00","10,189.00"
2016,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"13,436.00","11,540.00",0,0,"16,508.00",0,"13,178.00","9,299.00","2,996.00","1,732.00","9,724.00","9,971.00"
November,"13,563.00","12,080.00",0,0,"16,926.00",0,"13,404.00","9,526.00","3,038.00","3,038.00","10,152.00","10,103.00"
Oktober,"13,051.00","12,445.00",0,0,"15,897.00",0,"13,198.00","9,372.00","3,103.00","1,683.00","9,917.00","9,726.00"
September,"12,998.00","12,874.00",0,0,"16,847.00",0,"13,456.00","9,522.00","3,137.00","1,676.00","9,912.00","9,880.00"
Agustus,"13,300.00","12,917.00",0,0,"17,425.00",0,"13,531.00","9,758.00","3,284.00","1,715.00","10,013.00","10,162.00"
Juli,"13,094.00","12,588.00",0,0,"17,270.00",0,"13,369.00","9,699.00","3,229.00","1,688.00","9,872.00","9,966.00"
Juni,"13,180.00","12,831.00",0,0,"17,682.00",0,"13,455.00","9,771.00","3,278.00","1,699.00","9,816.00","10,186.00"
Mei,"13,615.00","12,256.00",0,0,"19,998.00",0,"13,727.00","9,874.00","3,311.00","1,753.00","9,853.00","10,449.00"
April,"13,204.00","12,302.00",0,0,"19,336.00",0,"13,694.00","9,832.00","3,395.00","1,702.00","10,091.00","10,533.00"
Maret,"13,276.00","11,818.00",0,0,"19,058.00",0,"13,747.00","9,830.00","3,389.00","1,712.00","10,162.00","10,222.00"
Februari,"13,395.00","11,815.00",0,0,"18,563.00",0,"13,446.00","9,493.00","3,164.00","1,723.00","9,541.00","9,899.00"
Januari,"13,846.00","11,675.00",0,0,"19,875.00",0,"13,645.00","9,707.00","3,330.00","1,777.00","9,827.00","9,864.00"
2015,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"13,795.00","11,452.00",0,0,"20,451.00",0,"13,951.00","9,751.00","3,210.00","1,780.00","10,064.00","9,948.00"
November,"13,840.00","11,274.00",0,0,"20,792.00",0,"13,421.00","9,784.00","3,240.00","1,786.00","9,939.00","10,343.00"
Oktober,"13,639.00","11,280.00",0,0,"20,894.00",0,"13,792.00","9,732.00","3,168.00","1,760.00","9,686.00","10,365.00"
September,"14,657.00","12,232.00",0,0,"22,208.00",0,"15,082.00","10,274.00","3,297.00","1,891.00","10,270.00","10,917.00"
Agustus,"14,027.00","11,575.00",0,0,"21,645.00",0,"14,605.00","9,937.00","3,344.00","1,810.00","10,005.00","10,593.00"
Juli,"13,481.00","10,874.00",0,0,"21,036.00",0,"13,929.00","9,814.00","3,533.00","1,739.00","9,846.00","10,373.00"
Juni,"13,332.00","10,896.00",0,0,"20,970.00",0,"14,380.00","9,895.00","3,527.00","1,720.00","10,218.00","10,734.00"
Mei,"13,211.00","10,682.00",0,0,"20,254.00",0,"14,015.00","9,806.00","3,626.00","1,704.00","10,130.00","10,635.00"
April,"12,937.00","10,888.00",0,0,"19,959.00",0,"13,761.00","9,795.00","3,641.00","1,669.00","10,335.00","10,754.00"
Maret,"13,084.00","10,895.00",0,0,"19,357.00",0,"13,516.00","9,508.00","3,524.00","1,687.00","10,003.00","10,311.00"
Februari,"12,863.00","10,784.00",0,0,"19,841.00",0,"13,503.00","9,480.00","3,562.00","1,659.00","10,012.00","10,285.00"
Januari,"12,625.00","10,699.00",0,0,"19,035.00",0,"13,687.00","9,338.00","3,481.00","1,629.00","9,830.00","10,002.00"
2014,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"12,440.00","10,425.00",0,0,"19,370.00",0,"12,583.00","9,422.00","3,562.00","1,604.00","10,218.00","10,734.00"
November,"12,196.00","10,322.00",0,0,"19,178.00",0,"12,644.00","9,366.00","3,624.00","1,573.00","10,391.00","10,756.00"
Oktober,"12,082.00","11,043.00",0,0,"19,318.00",0,"12,627.00","9,455.00","3,680.00","1,558.00","10,663.00","10,790.00"
