iter	Passed	Remaining
930	1417	105
931	1418	103
932	1420	101
933	1421	100
934	1423	98
935	1425	97
936	1427	95
937	1428	94
938	1430	92
939	1431	91
940	1432	89
941	1434	88
942	1436	86
943	1437	85
944	1439	83
945	1440	82
946	1441	80
947	1443	79
948	1444	77
949	1445	76
950	1447	74
951	1448	73
952	1450	71
953	1452	70
954	1453	68
955	1455	66
956	1456	65
957	1457	63
958	1459	62
959	1460	60
960	1461	59
961	1463	57
962	1465	56
963	1466	54
964	1468	53
965	1469	51
966	1471	50
967	1472	48
968	1474	47
969	1475	45
970	1476	44
971	1478	42
972	1480	41
973	1481	39
974	1483	38
975	1484	36
976	1486	34
977	1487	33
978	1488	31
979	1490	30
980	1491	28
981	1493	27
982	1494	25
983	1496	24
984	1498	22
985	1499	21
986	1501	19
987	1502	18
988	1503	16
989	1505	15
990	1506	13
991	1508	12
992	1509	10
993	1511	9
994	1513	7
995	1514	6
996	1516	4
997	1517	3
998	1519	1
999	1520	0
